,base,tag
116,taki,adj:sg:acc:f:pos
117,szkarada,subst:sg:acc:f
118,.,interp
119,z,prep:gen:nwok
120,co,subst:sg:gen:n
121,strzelać,praet:sg:m1:imperf
122,być,aglt:sg:sec:imperf:wok
123,przed,prep:inst:nwok
124,wojna,subst:sg:inst:f
125,?,interp
126,-,interp
127,mieć,praet:sg:m1:imperf
128,być,aglt:sg:pri:imperf:wok
129,holland,subst:pl:acc:m3
130,-,interp
131,odrzec,praet:sg:m1:perf
132,być,aglt:sg:pri:imperf:wok
133,.,interp
134,-,interp
135,jedyny,adj:sg:nom:f:pos
136,rada,subst:sg:nom:f
137,-,interp
138,rzec,praet:sg:m1:perf
139,w,prep:loc:nwok
140,koniec,subst:sg:loc:m3
141,Staś,subst:sg:nom:m1
142,po,prep:loc
143,oględziny,subst:pl:loc:n
144,mój,adj:sg:gen:f:pos
145,broń,subst:sg:gen:f
146,.,interp
147,-,interp
148,kazać,impt:sg:sec:imperf
149,siebie,siebie:dat
150,skrócić,inf:perf
151,szyja,subst:sg:acc:f
152,na,prep:acc
153,dobry,adj:pl:gen:m3:pos
154,kilka,num:pl:acc:m3:rec
155,centymetr,subst:pl:gen:m3
156,",",interp
157,albo,conj
158,jeszcze,qub
159,dobrze,adv:com
160,rzucić,impt:sg:sec:perf
161,ten,adj:sg:acc:n:pos
162,świństwo,subst:sg:acc:n
163,do,prep:gen
164,piec,subst:sg:gen:m3
165,",",interp
166,a,conj
167,co,subst:sg:nom:n
168,się,qub
169,nie,qub
170,spalić,fin:sg:ter:perf
171,-,interp
172,na,prep:acc
173,śmietnik,subst:sg:acc:m3
174,.,interp
175,przestrzeń,subst:sg:acc:f
176,dzielić,pact:sg:acc:f:imperf:aff
177,on,ppron3:pl:acc:n:ter:akc:npraep
178,od,prep:gen:nwok
179,kolejny,adj:sg:gen:m3:pos
180,skłon,subst:sg:gen:m3
181,schody,subst:pl:gen:n
182,pokonać,praet:sg:n:perf
183,",",interp
184,kolebać,pcon:imperf
185,się,qub
186,na,prep:acc
187,bok,subst:pl:acc:m3
188,",",interp
189,rozkołysać,ppas:sg:inst:m3:perf:aff
190,kaczy,adj:sg:inst:m3:pos
191,chód,subst:sg:inst:m3
192,.,interp
193,dziwny,adj:pl:nom:n:sup
194,jednak,conj
195,być,praet:sg:n:imperf
196,to,subst:sg:nom:n
197,",",interp
198,co,subst:sg:nom:n
199,nastąpić,praet:sg:n:perf
200,potem,adv
201,.,interp
202,on,ppron3:sg:gen:n:ter:akc:npraep
203,wspinać,ger:sg:nom:n:imperf:aff
204,się,qub
205,na,prep:acc
206,stopień,subst:sg:acc:m3
207,.,interp
208,mianowicie,conj
209,najpierw,adv
210,przed,prep:inst:nwok
211,on,ppron3:sg:inst:m3:ter:akc:praep
212,stanąć,praet:sg:n:perf
213,",",interp
214,niemal,qub
215,do,prep:gen
216,on,ppron3:sg:gen:m3:ter:nakc:praep
217,przywrzeć,praet:sg:n:perf
218,.,interp
219,sam,adj:sg:nom:n:pos
220,zresztą,qub
221,być,praet:sg:n:imperf
222,niewiele,adv
223,od,prep:gen:nwok
224,on,ppron3:sg:gen:m3:ter:akc:praep
225,wysoki,adj:sg:nom:n:com
226,.,interp
227,a,conj
228,potem,adv
229,z,prep:inst:nwok
230,olbrzymi,adj:sg:inst:m3:pos
231,wysiłek,subst:sg:inst:m3
232,zacząć,praet:sg:n:perf
233,się,qub
234,na,prep:acc
235,on,ppron3:sg:acc:m1:ter:nakc:praep
236,wspinać,inf:imperf
237,",",interp
238,a,conj
239,kiedy,adv
240,betonowy,adj:sg:nom:f:pos
241,krawędź,subst:sg:nom:f
242,być,praet:sg:f:imperf
243,już,qub
244,w,prep:loc:nwok
245,połowa,subst:sg:loc:f
246,on,ppron3:sg:gen:n:ter:akc:npraep
247,wysokość,subst:sg:gen:f
248,",",interp
249,ostrożnie,adv:pos
250,się,qub
251,pochylać,pcon:imperf
252,powoli,adv
253,przeważyć,praet:sg:n:perf
254,ciężar,subst:sg:acc:m3
255,ciało,subst:sg:gen:n
256,na,prep:acc
257,poziomy,adj:sg:acc:f:pos
258,płaszczyzna,subst:sg:acc:f
259,stopień,subst:sg:gen:m3
260,.,interp
261,jakby,qub
262,nie,qub
263,móc,praet:sg:n:imperf
264,się,qub
265,zginać,inf:imperf
266,",",interp
267,jakby,qub
268,kręgosłup,subst:sg:acc:m3
269,mieć,praet:sg:n:imperf
270,całkiem,adv
271,zesztywniały,adj:sg:acc:m3:pos
272,.,interp
273,w,prep:loc:nwok
274,koniec,subst:sg:loc:m3
275,udać,praet:sg:n:perf
276,się,qub
277,.,interp
278,z,prep:inst:nwok
279,lekki,adj:sg:inst:m3:pos
280,stukot,subst:sg:inst:m3
281,opaść,praet:sg:n:perf
282,na,prep:acc
283,brzuch,subst:sg:acc:m3
284,.,interp
285,leżeć,pcon:imperf
286,tak,adv:pos
287,",",interp
288,wydać,praet:sg:n:perf
289,z,prep:gen:nwok
290,siebie,siebie:gen
291,właśnie,qub
292,ten,adj:sg:acc:n:pos
293,jedyny,adj:sg:acc:n:pos
294,w,prep:loc:nwok
295,swój,adj:sg:loc:m3:pos
296,rodzaj,subst:sg:loc:m3
297,cichutki,adj:sg:acc:n:pos
298,jęknięcie,subst:sg:acc:n
299,.,interp
300,osiągnąć,pant:perf
301,ten,adj:sg:acc:f:pos
302,faza,subst:sg:acc:f
303,wspinaczka,subst:sg:gen:f
304,",",interp
305,przejść,praet:sg:n:perf
306,po,prep:loc
307,chwila,subst:sg:loc:f
308,do,prep:gen
309,następny,adj:sg:gen:m3:pos
310,etap,subst:sg:gen:m3
311,.,interp
312,ciągle,adv:pos
313,leżeć,pcon:imperf
314,",",interp
315,zacząć,praet:sg:n:perf
316,się,qub
317,czołgać,inf:imperf
318,daleko,adv:com
319,",",interp
320,aż,comp
321,do,prep:gen
322,chwila,subst:sg:gen:f
323,kiedy,adv
324,środek,subst:sg:nom:m3
325,ciężkość,subst:sg:gen:f
326,",",interp
327,w,prep:loc:nwok
328,ogół,subst:sg:loc:m3
329,cały,adj:sg:nom:n:pos
330,ciało,subst:sg:nom:n
331,",",interp
332,całkowicie,adv:pos
333,znaleźć,praet:sg:n:perf
334,się,qub
335,na,prep:loc
336,stopień,subst:sg:loc:m3
337,.,interp
338,-,interp
339,nie,qub
340,widzieć,fin:sg:pri:imperf
341,duży,adj:sg:gen:n:com
342,ryzyko,subst:sg:gen:n
343,dla,prep:gen
344,taki,adj:sg:gen:f:pos
345,decyzja,subst:sg:gen:f
346,.,interp
347,wystąpić,ger:sg:nom:n:perf:aff
348,tak_zwany,brev:pun
349,.,interp
350,impuls,subst:sg:gen:m3
351,inflacyjny,adj:sg:gen:m3:pos
352,na,prep:acc
353,skutek,subst:sg:acc:m3
354,podwyżka,subst:pl:gen:f
355,cena,subst:pl:gen:f
356,ropa,subst:sg:gen:f
357,na,prep:loc
358,świat,subst:sg:loc:m3
359,być,fin:sg:ter:imperf
360,mało,adv:pos
361,realny,adj:sg:nom:n:pos
362,.,interp
363,również,qub
364,duży,adj:sg:nom:n:pos
365,bezrobocie,subst:sg:nom:n
366,i,conj
367,konkurencja,subst:sg:nom:f
368,na,prep:loc
369,rynek,subst:sg:loc:m3
370,być,bedzie:pl:ter:imperf
371,dyscyplinować,inf:imperf
372,nasz,adj:pl:acc:f:pos
373,cena,subst:pl:acc:f
374,.,interp
375,ale,conj
376,pamiętać,impt:pl:pri:imperf
377,",",interp
378,że,comp
379,ten,adj:sg:nom:f:pos
380,obniżka,subst:sg:nom:f
381,-,interp
382,jeśli,comp
383,do,prep:gen
384,on,ppron3:sg:gen:f:ter:akc:praep
385,dojść,fin:sg:ter:perf
386,-,interp
387,przełożyć,fin:sg:ter:perf
388,się,qub
389,na,prep:acc
390,ożywienie,subst:sg:acc:n
391,gospodarczy,adj:sg:acc:n:pos
392,dopiero,qub
393,za,prep:acc
394,6,num:pl:acc:m3:rec
395,-,interp
396,8,num:pl:acc:m3:rec
397,miesiąc,subst:pl:gen:m3
398,.,interp
399,taki,adj:pl:nom:f:pos
400,być,fin:pl:ter:imperf
401,sprawdzić,ppas:pl:nom:f:perf:aff
402,reguła,subst:pl:nom:f
403,ekonomiczny,adj:pl:nom:f:pos
404,i,conj
405,my,ppron12:pl:nom:m1:pri
406,on,ppron3:pl:gen:f:ter:akc:npraep
407,nie,qub
408,zmienić,fin:pl:pri:perf
409,.,interp
410,projekt,subst:sg:nom:m3
411,przyszłoroczny,adj:sg:gen:m3:pos
412,budżet,subst:sg:gen:m3
413,",",interp
414,który,adj:sg:acc:m3:pos
415,przedstawić,praet:sg:m1:perf
416,wicepremier,subst:sg:nom:m1
417,Marek,subst:sg:nom:m1
418,Belka,subst:sg:nom:m1
419,",",interp
420,opierać,fin:sg:ter:imperf
421,się,qub
422,-,interp
423,tak,adv:pos
424,się,qub
425,wydawać,fin:sg:ter:imperf
426,-,interp
427,na,prep:loc
428,ekonomiczny,adj:sg:loc:m3:pos
429,optymizm,subst:sg:loc:m3
430,.,interp
431,czy,qub
432,być,fin:pl:ter:imperf
433,ku,prep:dat
434,to,subst:sg:dat:n
435,rzeczywisty,adj:pl:nom:m3:pos
436,powód,subst:pl:nom:m3
437,?,interp
438,po,prep:loc
439,ten,adj:pl:loc:n:pos
440,polski,adj:pl:loc:n:pos
441,wydarzenie,subst:pl:loc:n
442,przenieść,praet:pl:m1:perf
443,być,aglt:pl:pri:imperf:nwok
444,się,qub
445,do,prep:gen
446,Londyn,subst:sg:gen:m3
447,",",interp
448,gdzie,adv
449,w,prep:loc:nwok
450,renomowany,adj:sg:loc:m3:pos
451,hotel,subst:sg:loc:m3
452,odbywać,praet:sg:n:imperf
453,się,qub
454,wręczać,ger:sg:nom:n:imperf:aff
455,nagroda,subst:pl:gen:f
456,znany,adj:sg:gen:n:pos
457,pismo,subst:sg:gen:n
458,muzyczny,adj:sg:gen:n:pos
459,"""",interp
460,Q,subst:sg:nom:n
461,"""",interp
462,.,interp
463,w,prep:loc:nwok
464,reportaż,subst:sg:loc:m3
465,ten,adj:sg:inst:m3:pos
466,duży,adj:sg:acc:n:sup
467,wrażenie,subst:sg:acc:n
468,zrobić,praet:sg:m1:perf
469,podstarzały,adj:sg:nom:m1:pos
470,wprawdzie,qub
471,Johny,subst:sg:nom:m1
472,Rotten,subst:sg:nom:m1
473,",",interp
474,lider,subst:sg:nom:m1
475,punkowy,adj:sg:gen:m3:pos
476,zespół,subst:sg:gen:m3
477,Sex,subst:sg:nom:m3
478,Pistols,subst:sg:nom:m3
479,",",interp
480,który,adj:sg:nom:m3:pos
481,kazać,praet:sg:m3:imperf
482,rozwydrzyć,ppas:pl:dat:m1:perf:aff
483,i,conj
484,rozochocić,ppas:pl:dat:m1:perf:aff
485,gość,subst:pl:dat:m1
486,po,prep:acc
487,prosty,adjp
488,"""",interp
489,zamknąć,inf:perf
490,się,qub
491,"""",interp
492,.,interp
493,tak,qub
494,więc,conj
495,"""",interp
496,SuperVIP,subst:sg:nom:m3
497,"""",interp
498,to,pred
499,jeszcze,qub
500,jeden,adj:sg:nom:m3:pos
501,tradycyjny,adj:sg:nom:m3:pos
502,program,subst:sg:nom:m3
503,prezentować,pact:sg:nom:m3:imperf:aff
504,nowość,subst:pl:acc:f
505,z,prep:gen:wok
506,świat,subst:sg:gen:m3
507,popkultura,subst:sg:gen:f
508,.,interp
509,nie,qub
510,mieć,fin:sg:ter:imperf
511,w,prep:loc:nwok
512,on,ppron3:sg:loc:m3:ter:akc:praep
513,",",interp
514,wbrew,prep:dat
515,ten,adj:sg:dat:n:pos
516,co,subst:sg:acc:n
517,można,pred
518,by,qub
519,sądzić,inf:imperf
520,",",interp
521,żaden,adj:pl:gen:f:pos
522,plotka,subst:pl:gen:f
523,i,conj
524,skandal,subst:pl:gen:m3
525,",",interp
526,także,qub
527,sam,adj:sg:nom:f:pos
528,formuła,subst:sg:nom:f
529,program,subst:sg:gen:m3
530,",",interp
531,gdzie,adv
532,na,prep:acc
533,przemian,burk
534,pojawiać,fin:sg:ter:imperf
535,się,qub
536,prowadzić,pact:sg:nom:f:imperf:aff
537,on,ppron3:sg:acc:m3:ter:nakc:npraep
538,Ewa,subst:sg:nom:f
539,Olbrychska,subst:sg:nom:f
540,i,conj
541,krótki,adj:pl:nom:m3:pos
542,reportaż,subst:pl:nom:m3
543,bądź,conj
544,wywiad,subst:pl:nom:m3
545,",",interp
546,być,fin:sg:ter:imperf
547,mocno,adv:pos
548,ugrzeczniony,adj:sg:nom:f:pos
549,i,conj
550,nie,qub
551,odbiegać,fin:sg:ter:imperf
552,oda,subst:pl:gen:f
553,konwencja,subst:sg:gen:f
554,tradycyjny,adj:sg:gen:m3:pos
555,program,subst:sg:gen:m3
556,informacyjny,adj:sg:gen:m3:pos
557,.,interp
558,1,adj:sg:nom:m3:pos
559,.,interp
560,przewodniczący,subst:sg:nom:m1
561,sesja,subst:sg:gen:f
562,giełdowy,adj:sg:gen:f:pos
563,móc,fin:sg:ter:imperf
564,nadzorować,inf:imperf
565,wykonywać,ger:sg:acc:n:imperf:aff
566,zadanie,subst:pl:gen:n
567,",",interp
568,o,prep:loc
569,który,adj:pl:loc:n:pos
570,mowa,subst:sg:nom:f
571,w,prep:loc:nwok
572,§,interp
573,85,adj:sg:loc:m3:pos
574,.,interp
575,2,adj:sg:loc:m3:pos
576,.,interp
577,giełda,subst:sg:nom:f
578,móc,fin:sg:ter:imperf
579,podjąć,inf:perf
580,lub,conj
581,w,prep:loc:nwok
582,szczególnie,adv:pos
583,uzasadnić,ppas:pl:loc:m3:perf:aff
584,przypadek,subst:pl:loc:m3
585,przejąć,inf:perf
586,wykonywać,ger:sg:acc:n:imperf:aff
587,zadanie,subst:pl:gen:n
588,określić,ppas:pl:gen:n:perf:aff
589,w,prep:loc:nwok
590,§,interp
591,85,adj:sg:loc:m3:pos
592,litera,brev:pun
593,.,interp
594,a,subst:sg:nom:n
595,),interp
596,",",interp
597,c,subst:sg:nom:n
598,),interp
599,.,interp
600,interwencja,subst:sg:nom:f
601,wówczas,adv
602,nie,qub
603,następować,fin:sg:ter:imperf
604,.,interp
605,87,adj:sg:nom:m3:pos
606,członek,subst:sg:nom:m1
607,giełda,subst:sg:gen:f
608,-,interp
609,specjalista,subst:sg:nom:m1
610,być,fin:sg:ter:imperf
611,zobowiązany,adj:sg:nom:m1:pos
612,na,prep:acc
613,żądanie,subst:sg:acc:n
614,zarząd,subst:sg:gen:m3
615,giełda,subst:sg:gen:f
616,przedstawić,inf:perf
617,informacja,subst:sg:acc:f
618,o,prep:loc
619,limit,subst:sg:loc:m3
620,środek,subst:pl:gen:m3
621,przeznaczyć,ppas:pl:gen:f:perf:aff
622,na,prep:acc
623,wykonywać,ger:sg:acc:n:imperf:aff
624,zadanie,subst:pl:gen:n
625,specjalista,subst:sg:gen:m1
626,.,interp
627,88,adj:sg:nom:m3:pos
628,1,adj:sg:nom:m3:pos
629,.,interp
630,odpis,subst:sg:acc:m3
631,umowa,subst:sg:gen:f
632,",",interp
633,o,prep:loc
634,który,adj:sg:loc:f:pos
635,mowa,subst:sg:nom:f
636,w,prep:loc:nwok
637,§,interp
638,84,adj:sg:loc:m3:pos
639,",",interp
640,członek,subst:sg:nom:m1
641,giełda,subst:sg:gen:f
642,-,interp
643,specjalista,subst:sg:nom:m1
644,obowiązany,adj:sg:nom:m1:pos
645,być,fin:sg:ter:imperf
646,przekazać,inf:perf
647,zarząd,subst:sg:dat:m3
648,giełda,subst:sg:gen:f
649,",",interp
650,przed,prep:inst:nwok
651,wydać,ger:sg:inst:n:perf:aff
652,zgoda,subst:sg:gen:f
653,",",interp
654,o,prep:loc
655,który,adj:sg:loc:f:pos
656,mowa,subst:sg:nom:f
657,w,prep:loc:nwok
658,§,interp
659,84,adj:sg:loc:m3:pos
660,.,interp
661,2,adj:sg:loc:m3:pos
662,.,interp
663,spór,subst:pl:acc:m3
664,wynikać,pact:pl:acc:m3:imperf:aff
665,z,prep:gen:nwok
666,umowa,subst:sg:gen:f
667,",",interp
668,o,prep:loc
669,który,adj:sg:loc:f:pos
670,mowa,subst:sg:nom:f
671,w,prep:loc:nwok
672,ustęp,brev:pun
673,.,interp
674,1,adj:sg:loc:m3:pos
675,strona,subst:pl:nom:f
676,móc,fin:pl:ter:imperf
677,poddać,inf:perf
678,właściwość,subst:sg:dat:f
679,sąd,subst:sg:gen:m3
680,giełdowy,adj:sg:gen:m3:pos
681,.,interp
682,89,adj:sg:nom:m3:pos
683,wykonywać,pcon:imperf
684,zadanie,subst:pl:acc:n
685,specjalista,subst:sg:gen:m1
686,",",interp
687,członek,subst:sg:nom:m1
688,giełda,subst:sg:gen:f
689,powinien,winien:sg:m1:imperf
690,kierować,inf:imperf
691,się,qub
692,przed,prep:inst:wok
693,wszystko,subst:sg:inst:n
694,interes,subst:sg:inst:m3
695,uczestnik,subst:pl:gen:m1
696,rynek,subst:sg:gen:m3
697,.,interp
698,1,adj:sg:nom:m3:pos
699,.,interp
700,członek,subst:sg:nom:m1
701,giełda,subst:sg:gen:f
702,-,interp
703,specjalista,subst:sg:nom:m1
704,oraz,conj
705,emitent,subst:sg:nom:m1
706,obowiązany,adj:pl:nom:m1:pos
707,być,fin:pl:ter:imperf
708,bezzwłocznie,adv:pos
709,zawiadomić,inf:perf
710,zarząd,subst:sg:acc:m3
711,giełda,subst:sg:gen:f
712,o,prep:loc
713,dokonać,ppas:sg:loc:n:perf:aff
714,wypowiedzenie,subst:sg:loc:n
715,",",interp
716,oraz,conj
717,wygasnąć,ger:sg:loc:n:perf:aff
718,umowa,subst:sg:gen:f
719,",",interp
720,o,prep:loc
721,który,adj:sg:loc:f:pos
722,mowa,subst:sg:nom:f
723,w,prep:loc:nwok
724,§,interp
725,84,adj:sg:loc:m3:pos
726,",",interp
727,jak,conj
728,również,conj
729,o,prep:loc
730,każdy,adj:sg:loc:f:pos
731,zmiana,subst:sg:loc:f
732,w,prep:loc:nwok
733,on,ppron3:sg:gen:f:ter:akc:npraep
734,treść,subst:sg:loc:f
735,",",interp
736,z,prep:inst:nwok
737,wyjątek,subst:sg:inst:m3
738,zmiana,subst:sg:gen:f
739,wynagrodzenie,subst:sg:gen:n
740,.,interp
741,do,prep:gen
742,zawiadomienie,subst:sg:gen:n
743,o,prep:loc
744,zmiana,subst:sg:loc:f
745,treść,subst:sg:gen:f
746,umowa,subst:sg:gen:f
747,należeć,fin:sg:ter:imperf
748,dołączyć,inf:perf
749,odpis,subst:sg:acc:m3
750,umowa,subst:sg:gen:f
751,w,prep:loc:nwok
752,obowiązywać,pact:sg:loc:n:imperf:aff
753,brzmienie,subst:sg:loc:n
754,.,interp
755,2,adj:sg:nom:m3:pos
756,.,interp
757,zawiadomienie,subst:sg:acc:n
758,o,prep:loc
759,wypowiedzieć,ger:sg:loc:n:perf:aff
760,umowa,subst:sg:gen:f
761,strona,subst:sg:nom:f
762,dokonywać,pact:sg:nom:f:imperf:aff
763,wypowiedzenie,subst:sg:gen:n
764,zobowiązany,adj:sg:nom:f:pos
765,być,fin:sg:ter:imperf
766,przekazać,inf:perf
767,zarząd,subst:sg:dat:m3
768,giełda,subst:sg:gen:f
769,nie,qub
770,późno,adv:com
771,niż,conj
772,na,prep:acc
773,4,num:pl:acc:m3:congr
774,tydzień,subst:pl:acc:m3
775,przed,prep:inst:nwok
776,termin,subst:sg:inst:m3
777,wygasnąć,ger:sg:gen:n:perf:aff
778,umowa,subst:sg:gen:f
779,.,interp
780,91,num:pl:nom:m3:rec
781,zarząd,subst:sg:nom:m3
782,giełda,subst:sg:gen:f
783,móc,fin:sg:ter:imperf
784,zawiesić,inf:perf
785,prawo,subst:sg:acc:n
786,wykonywać,ger:sg:gen:n:imperf:aff
787,przez,prep:acc:nwok
788,członek,subst:sg:acc:m1
789,giełda,subst:sg:gen:f
790,zadanie,subst:pl:gen:n
791,specjalista,subst:sg:gen:m1
792,",",interp
793,o,prep:acc
794,ile,num:sg:acc:n:rec
795,nie,qub
796,wykonywać,fin:sg:ter:imperf
797,on,ppron3:sg:nom:m1:ter:akc:praep
798,on,ppron3:pl:gen:n:ter:akc:npraep
799,zgodnie,adv:pos
800,z,prep:inst:nwok
801,przepis,subst:pl:inst:m3
802,obowiązywać,pact:pl:inst:m3:imperf:aff
803,na,prep:loc
804,giełda,subst:sg:loc:f
805,.,interp
806,nie,qub
807,dać,fin:sg:ter:perf
808,się,qub
809,ukryć,inf:perf
810,",",interp
811,że,comp
812,fascynować,fin:sg:ter:imperf
813,ja,ppron12:sg:acc:m1:pri:akc
814,kultura,subst:sg:nom:f
815,hip-hop,adj:sg:nom:f:pos
816,",",interp
817,ale,conj
818,nie,qub
819,chcieć,fin:sg:ter:imperf
820,podszywać,inf:imperf
821,się,qub
822,pod,prep:inst:nwok
823,tak_zwany,brev:pun
824,.,interp
825,blokers,subst:sg:acc:m1
826,i,conj
827,szukać,fin:sg:pri:imperf
828,swój,adj:sg:gen:f:pos
829,droga,subst:sg:gen:f
830,próbować,pcon:imperf
831,robić,inf:imperf
832,muzyka,subst:sg:acc:f
833,z,prep:inst:nwok
834,pozytywny,adj:sg:inst:m3:pos
835,i,conj
836,szczery,adj:sg:inst:m3:pos
837,przekaz,subst:sg:inst:m3
838,.,interp
839,być,fin:sg:ter:imperf
840,on,ppron3:sg:nom:f:ter:akc:npraep
841,adresować,ppas:sg:nom:f:imperf:aff
842,do,prep:gen
843,człowiek,subst:pl:gen:m1
844,młody,adj:pl:gen:m1:pos
845,",",interp
846,wrażliwy,adj:pl:gen:m1:pos
847,i,conj
848,zmęczony,adj:pl:gen:m1:pos
849,bezpłciowy,adj:sg:inst:f:pos
850,",",interp
851,popowy,adj:sg:inst:f:pos
852,papka,subst:sg:inst:f
853,",",interp
854,zalewać,pact:sg:inst:f:imperf:aff
855,polski,adj:sg:acc:m3:pos
856,eter,subst:sg:acc:m3
857,.,interp
858,oprócz,prep:gen
859,plejada,subst:sg:gen:f
860,świetny,adj:pl:gen:m1:pos
861,muzyk,subst:pl:gen:m1
862,z,prep:gen:wok
863,środowisko,subst:sg:gen:n
864,rockowy,adj:sg:gen:n:pos
865,/,interp
866,między_innymi,brev:pun
867,.,interp
868,Janek,subst:sg:nom:m1
869,Benedek,subst:sg:nom:m1
870,(,interp
871,ex,adj:sg:nom:m3:pos
872,-,interp
873,T.Love,subst:sg:nom:m3
874,),interp
875,",",interp
876,Wojciech,subst:sg:nom:m1
877,Seweryn,subst:sg:nom:m1
878,(,interp
879,Lech,subst:sg:nom:m1
880,Janerka,subst:sg:nom:m1
881,),interp
882,/,interp
883,udać,praet:sg:n:perf
884,ja,ppron12:sg:dat:m1:pri:nakc
885,się,qub
886,zaprosić,inf:perf
887,na,prep:acc
888,płyta,subst:sg:acc:f
889,kilka,num:pl:acc:f:rec
890,znany,adj:pl:gen:f:pos
891,i,conj
892,cenić,ppas:pl:gen:f:imperf:aff
893,przez,prep:acc:wok
894,ja,ppron12:sg:acc:m1:pri:akc
895,gwiazda,subst:pl:gen:f
896,polski,adj:sg:gen:m3:pos
897,hip-hop,subst:sg:gen:m3
898,.,interp
899,w,prep:loc:nwok
900,dwa,num:pl:loc:f:congr
901,piosenka,subst:pl:loc:f
902,wystąpić,praet:sg:m1:perf
903,gościnnie,adv:pos
904,Pezet,subst:sg:nom:m1
905,(,interp
906,Pezet,subst:sg:nom:m1
907,-,interp
908,Noon,subst:sg:nom:m1
909,),interp
910,",",interp
911,w,prep:loc:nwok
912,jeden,adj:sg:loc:f:pos
913,Trzeci,adj:sg:nom:m1:pos
914,Wymiar,subst:sg:nom:m1
915,(,interp
916,wschodzić,pact:sg:nom:f:imperf:aff
917,gwiazda,subst:sg:nom:f
918,młody,adj:sg:gen:f:pos
919,hip-hopowy,adj:sg:gen:f:pos
920,fala,subst:sg:gen:f
921,),interp
922,",",interp
923,a,conj
924,także,qub
925,członek,subst:pl:nom:m1
926,dobry,adj:sg:gen:m3:sup
927,w,prep:loc:nwok
928,Polska,subst:sg:loc:f
929,sound-system,subst:sg:gen:m3
930,reggae,adj:sg:gen:m3:pos
931,-,interp
932,zjednoczenie,subst:sg:nom:n
933,Sound,subst:sg:nom:m3
934,system,subst:sg:nom:m3
935,.,interp
936,płyta,subst:sg:acc:f
937,nagrać,praet:pl:m1:perf
938,i,conj
