,base,tag
116,taki,adj:sg:acc:f:pos
117,szkarada,subst:sg:acc:f
118,.,interp
119,z,prep:gen:nwok
120,co,subst:sg:gen:n
121,strzelać,praet:sg:m1:imperf
122,być,aglt:sg:sec:imperf:wok
123,przed,prep:inst:nwok
124,wojna,subst:sg:inst:f
125,?,interp
126,-,interp
127,mieć,praet:sg:m1:imperf
128,być,aglt:sg:pri:imperf:wok
129,hollandy,ign
130,-,interp
131,odrzec,praet:sg:m1:perf
132,być,aglt:sg:pri:perf:wok
133,.,interp
134,-,interp
135,jedyny,adj:sg:nom:f:pos
136,rada,subst:sg:nom:f
137,-,interp
138,rzec,praet:sg:m1:perf
139,w,prep:loc:nwok
140,koniec,subst:sg:loc:m3
141,Staś,subst:sg:nom:m1
142,po,prep:loc
143,oględziny,subst:pl:loc:n
144,mój,adj:sg:gen:f:pos
145,broń,subst:sg:gen:f
146,.,interp
147,-,interp
148,kazać,impt:sg:sec:perf
149,siebie,siebie:dat
150,skrócić,inf:perf
151,szyja,subst:sg:acc:f
152,na,prep:acc
153,dobry,subst:pl:acc:m1
154,kilka,num:pl:acc:m3:rec
155,centymetr,subst:pl:gen:m3
156,",",interp
157,albo,conj
158,jeszcze,qub
159,dobrze,adv:com
160,rzucić,impt:sg:sec:perf
161,ten,adj:sg:acc:n:pos
162,świństwo,subst:sg:acc:n
163,do,prep:gen
164,piec,subst:sg:gen:m3
165,",",interp
166,a,conj
167,co,subst:sg:nom:n
168,się,qub
169,nie,qub
170,spać,praet:pl:m1:imperf
171,-,interp
172,na,prep:acc
173,śmietnik,subst:sg:acc:m3
174,.,interp
0,przestrzeń,subst:sg:acc:f
1,dzielić,pact:sg:acc:f:imperf:aff
2,on,ppron3:pl:acc:f:ter:akc:npraep
3,od,prep:gen:nwok
4,kolejny,adj:sg:gen:m3:pos
5,skłon,subst:sg:gen:m3
6,schód,subst:pl:gen:m3
7,pokonać,praet:sg:n:perf
8,",",interp
9,kolebać,pcon:imperf
10,się,qub
11,na,prep:acc
12,bok,subst:pl:acc:m3
13,",",interp
14,rozkołysać,ppas:sg:loc:m3:perf:aff
15,kaczy,adj:sg:inst:m3:pos
16,chód,subst:sg:inst:m3
17,.,interp
18,dziwny,adj:sg:nom:n:sup
19,jednak,conj
20,być,praet:sg:n:imperf
21,to,subst:sg:nom:n
22,",",interp
23,co,subst:sg:nom:n
24,nastąpić,praet:sg:n:perf
25,potem,adv
26,.,interp
27,on,ppron3:sg:gen:m1:ter:akc:npraep
28,wspinać,ger:sg:nom:n:imperf:aff
29,się,qub
30,na,prep:acc
31,stopień,subst:sg:acc:m3
32,.,interp
33,mianowicie,conj
34,najpierw,adv
35,przed,prep:inst:nwok
36,on,ppron3:sg:inst:m1:ter:akc:praep
37,stanąć,praet:sg:n:perf
38,",",interp
39,niemal,qub
40,donia,subst:pl:gen:f
41,przywrzeć,praet:sg:n:perf
42,.,interp
43,sam,adj:sg:nom:n:pos
44,zresztą,qub
45,być,praet:sg:n:imperf
46,niewiele,num:pl:nom:n:rec
47,od,prep:gen:nwok
48,on,ppron3:sg:gen:m1:ter:akc:praep
49,wysoki,adj:pl:nom:f:com
50,.,interp
51,a,conj
52,potem,adv
53,z,prep:inst:nwok
54,olbrzymi,adj:sg:inst:m3:pos
55,wysiłek,subst:sg:inst:m3
56,zacząć,praet:sg:n:perf
57,się,qub
58,nań,ign
59,wspinać,inf:imperf
60,",",interp
61,a,conj
62,kiedy,adv
63,betonowy,adj:sg:nom:f:pos
64,krawędź,subst:sg:nom:f
65,być,praet:sg:f:imperf
66,już,qub
67,w,prep:loc:nwok
68,połowa,subst:sg:loc:f
69,on,ppron3:sg:gen:m1:ter:akc:npraep
70,wysokość,subst:sg:gen:f
71,",",interp
72,ostrożnie,adv:pos
73,się,qub
74,pochylać,pcon:imperf
75,powoli,adv
76,przeważyć,praet:sg:n:perf
77,ciężar,subst:sg:acc:m3
78,ciało,subst:sg:gen:n
79,na,prep:acc
80,poziomy,adj:sg:acc:f:pos
81,płaszczyzna,subst:sg:acc:f
82,stopień,subst:sg:gen:m3
83,.,interp
84,jakby,comp
85,nie,qub
86,móc,praet:sg:n:imperf
87,się,qub
88,zginać,inf:imperf
89,",",interp
90,jakby,comp
91,kręgosłup,subst:sg:acc:m3
92,mieć,praet:sg:n:imperf
93,całkiem,adv
94,zesztywniały,adj:sg:acc:m3:pos
95,.,interp
96,w,prep:loc:nwok
97,koniec,subst:sg:loc:m3
98,udać,praet:sg:n:perf
99,się,qub
100,.,interp
101,z,prep:inst:nwok
102,lekki,adj:sg:inst:m3:pos
103,stukot,subst:sg:inst:m3
104,opaść,praet:sg:n:perf
105,na,prep:acc
106,brzuch,subst:sg:acc:m3
107,.,interp
108,leżeć,pcon:imperf
109,tak,adv:pos
110,",",interp
111,wydać,praet:sg:n:perf
112,z,prep:gen:nwok
113,siebie,siebie:gen
114,właśnie,qub
115,to,subst:sg:nom:n
116,jedyny,adj:sg:nom:n:pos
117,w,prep:loc:nwok
118,swój,adj:sg:loc:m3:pos
119,rodzaj,subst:sg:loc:m3
120,cichutki,adj:sg:acc:n:pos
121,jęknąć,ger:sg:acc:n:perf:aff
122,.,interp
123,osiągnąć,pant:perf
124,ten,adj:sg:acc:f:pos
125,faza,subst:sg:acc:f
126,wspinaczka,subst:sg:gen:f
127,",",interp
128,przeszło,qub
129,po,prep:loc
130,chwila,subst:sg:loc:f
131,do,prep:gen
132,następny,adj:sg:gen:m3:pos
133,etap,subst:sg:gen:m3
134,.,interp
135,ciągle,adv:pos
136,leżeć,pcon:imperf
137,",",interp
138,zacząć,praet:sg:n:perf
139,się,qub
140,czołgać,inf:imperf
141,daleko,adv:com
142,",",interp
143,aż,comp
144,do,prep:gen
145,chwila,subst:sg:gen:f
146,kiedy,adv
147,środek,subst:sg:acc:m3
148,ciężkość,subst:sg:gen:f
149,",",interp
150,w,prep:loc:nwok
151,ogół,subst:sg:loc:m3
152,cały,adj:sg:nom:n:pos
153,ciało,subst:sg:nom:n
154,",",interp
155,całkowicie,adv:pos
156,znaleźć,praet:sg:n:perf
157,się,qub
158,na,prep:loc
159,stopień,subst:sg:loc:m3
160,.,interp
0,-,interp
1,nie,qub
2,widzieć,fin:sg:pri:imperf
3,duży,adj:sg:gen:n:com
4,ryzyko,subst:sg:gen:n
5,dla,prep:gen
6,taki,adj:sg:gen:f:pos
7,decyzja,subst:sg:gen:f
8,.,interp
9,wystąpienie,subst:sg:nom:n
10,tak zwany,brev:pun
11,.,interp
12,impuls,subst:sg:gen:m3
13,inflacyjny,adj:sg:gen:m3:pos
14,na,prep:acc
15,skutek,subst:sg:acc:m3
16,podwyżka,subst:pl:gen:f
17,cena,subst:pl:gen:f
18,ropa,subst:sg:gen:f
19,na,prep:loc
20,świat,subst:sg:loc:m3
21,być,fin:sg:ter:imperf
22,mało,adv:pos
23,realny,adj:sg:nom:n:pos
24,.,interp
25,również,qub
26,duży,adj:sg:nom:n:pos
27,bezrobocie,subst:sg:nom:n
28,i,conj
29,konkurencja,subst:sg:nom:f
30,na,prep:loc
31,rynek,subst:sg:loc:m3
32,być,bedzie:pl:ter:imperf
33,dyscyplinować,inf:imperf
34,nasz,adj:pl:acc:f:pos
35,cena,subst:pl:acc:f
36,.,interp
37,ale,qub
38,pamiętać,impt:pl:pri:imperf
39,",",interp
40,że,comp
41,ten,adj:sg:nom:f:pos
42,obniżka,subst:sg:nom:f
43,-,interp
44,jeśli,comp
45,do,prep:gen
46,on,ppron3:sg:gen:f:ter:akc:praep
47,dojść,fin:sg:ter:perf
48,-,interp
49,przełożyć,fin:sg:ter:perf
50,się,qub
51,na,prep:acc
52,ożywienie,subst:sg:acc:n
53,gospodarczy,adj:sg:acc:n:pos
54,dopiero,qub
55,za,prep:acc
56,6,num:pl:acc:m2:rec
57,-,interp
58,8,num:pl:acc:m3:rec
59,miesiąc,subst:pl:gen:m3
60,.,interp
61,taki,adj:pl:nom:f:pos
62,być,fin:pl:ter:imperf
63,sprawdzić,ppas:pl:nom:f:perf:aff
64,reguła,subst:pl:nom:f
65,ekonomiczny,adj:pl:nom:f:pos
66,i,conj
67,my,ppron12:pl:nom:m1:pri
68,on,ppron3:pl:gen:m1:ter:akc:npraep
69,nie,qub
70,zmienić,fin:pl:pri:perf
71,.,interp
72,projekt,subst:sg:nom:m3
73,przyszłoroczny,adj:sg:gen:m3:pos
74,budżet,subst:sg:gen:m3
75,",",interp
76,który,adj:sg:nom:m1:pos
77,przedstawić,praet:sg:m1:perf
78,wicepremier,subst:sg:nom:m1
79,Marek,subst:sg:nom:m1
80,Belka,subst:sg:nom:m1
81,",",interp
82,opierać,fin:sg:ter:imperf
83,się,qub
84,-,interp
85,tak,adv:pos
86,się,qub
87,wydawać,fin:sg:ter:imperf
88,-,interp
89,na,prep:loc
90,ekonomiczny,adj:sg:loc:m3:pos
91,optymizm,subst:sg:loc:m3
92,.,interp
93,czy,qub
94,być,fin:pl:ter:imperf
95,ku,prep:dat
96,to,subst:sg:dat:n
97,rzeczywisty,adj:pl:nom:m3:pos
98,powód,subst:pl:nom:m3
99,?,interp
0,po,prep:loc
1,ten,adj:pl:loc:n:pos
2,polski,adj:pl:loc:n:pos
3,wydarzenie,subst:pl:loc:n
4,przenieść,praet:pl:m1:perf
5,być,aglt:pl:pri:perf:nwok
6,się,qub
7,do,prep:gen
8,Londyn,subst:sg:gen:m3
9,",",interp
10,gdzie,adv
11,w,prep:loc:nwok
12,renomowany,adj:sg:loc:m3:pos
13,hotel,subst:sg:loc:m3
14,odbywać,praet:sg:n:imperf
15,się,qub
16,wręczać,ger:sg:nom:n:imperf:aff
17,nagroda,subst:pl:gen:f
18,znany,adj:sg:gen:n:pos
19,pismo,subst:sg:gen:n
20,muzyczny,adj:sg:gen:n:pos
21,"""",interp
22,Q,subst:sg:nom:n
23,"""",interp
24,.,interp
25,w,prep:loc:nwok
26,reportaż,subst:sg:loc:m3
27,ten,adj:sg:loc:m3:pos
28,duży,adj:sg:acc:n:sup
29,wrażenie,subst:sg:acc:n
30,zrobić,praet:sg:m1:perf
31,podstarzały,adj:sg:nom:m1:pos
32,wprawdzie,qub
33,John,subst:sg:nom:m2
34,rotten,subst:sg:acc:m3
35,",",interp
36,lider,subst:sg:nom:m1
37,punkowy,adj:sg:gen:m3:pos
38,zespół,subst:sg:gen:m3
39,Sex,subst:sg:gen:m3
40,Pistols,subst:sg:nom:m3
41,",",interp
42,który,adj:sg:nom:m1:pos
43,kazać,praet:sg:m1:perf
44,rozwydrzyć,ppas:pl:dat:m1:perf:aff
45,i,conj
46,rozochocony,adj:pl:dat:m1:pos
47,gość,subst:pl:dat:m1
48,po,prep:acc
49,prosty,adjp
50,"""",interp
51,zamknąć,inf:perf
52,się,qub
53,"""",interp
54,.,interp
55,tak,adv:pos
56,więc,conj
57,"""",interp
58,SuperVIP,ign
59,"""",interp
60,to,pred
61,jeszcze,qub
62,jeden,adj:sg:nom:m3:pos
63,tradycyjny,adj:sg:nom:m3:pos
64,program,subst:sg:nom:m3
65,prezentować,pact:sg:nom:m3:imperf:aff
66,nowość,subst:pl:acc:f
67,z,prep:gen:wok
68,świat,subst:sg:gen:m3
69,popkultura,subst:sg:gen:f
70,.,interp
71,nie,qub
72,mieć,fin:sg:ter:imperf
73,w,prep:loc:nwok
74,on,ppron3:sg:loc:m3:ter:akc:praep
75,",",interp
76,wbrew,prep:dat
77,to,subst:sg:dat:n
78,co,subst:sg:acc:n
79,można,pred
80,by,qub
81,sądzić,inf:imperf
82,",",interp
83,żaden,adj:pl:gen:f:pos
84,plotka,subst:pl:gen:f
85,i,conj
86,skandal,subst:pl:gen:m3
87,",",interp
88,także,qub
89,sam,adj:sg:nom:f:pos
90,formuła,subst:sg:nom:f
91,program,subst:sg:gen:m3
92,",",interp
93,gdzie,adv
94,na,prep:acc
95,przemian,burk
96,pojawiać,fin:sg:ter:imperf
97,się,qub
98,prowadzić,pact:sg:nom:f:imperf:aff
99,on,ppron3:sg:acc:m1:ter:nakc:npraep
100,Ewa,subst:sg:nom:f
101,Olbrychska,subst:sg:nom:f
102,i,conj
103,krótki,adj:pl:acc:m3:pos
104,reportaż,subst:pl:acc:m3
105,bądź,conj
106,wywiad,subst:pl:acc:m3
107,",",interp
108,być,fin:sg:ter:imperf
109,mocno,adv:pos
110,ugrzeczniony,adj:sg:nom:f:pos
111,i,conj
112,nie,qub
113,odbiegać,fin:sg:ter:imperf
114,od,prep:gen:nwok
115,konwencja,subst:sg:gen:f
116,tradycyjny,adj:sg:gen:m3:pos
117,program,subst:sg:gen:m3
118,informacyjny,adj:sg:gen:m3:pos
119,.,interp
0,1,adj:sg:nom:n:pos
1,.,interp
2,przewodniczący,subst:sg:nom:m1
3,sesja,subst:sg:gen:f
4,giełdowy,adj:sg:gen:f:pos
5,móc,fin:sg:ter:imperf
6,nadzorować,inf:imperf
7,wykonywać,ger:sg:acc:n:imperf:aff
8,zadanie,subst:pl:gen:n
9,",",interp
10,o,prep:loc
11,który,adj:pl:loc:f:pos
12,mowa,subst:sg:nom:f
13,w,prep:loc:nwok
14,§,interp
15,85.2,num:pl:nom:m3:rec
16,.,interp
17,giełda,subst:sg:nom:f
18,móc,fin:sg:ter:imperf
19,podjąć,inf:perf
20,lub,conj
21,w,prep:loc:nwok
22,szczególnie,adv:pos
23,uzasadniony,adj:pl:loc:m3:pos
24,przypadek,subst:pl:loc:m3
25,przejąć,inf:perf
26,wykonywać,ger:sg:acc:n:imperf:aff
27,zadanie,subst:pl:gen:n
28,określić,ppas:pl:gen:n:perf:aff
29,w,prep:loc:nwok
30,§,interp
31,85,num:pl:loc:m3:congr
32,litera,brev:pun
33,.,interp
34,a,subst:sg:nom:n
35,),interp
36,",",interp
37,c,subst:sg:nom:n
38,),interp
39,.,interp
40,interwencja,subst:sg:nom:f
41,wówczas,adv
42,nie,qub
43,następować,fin:sg:ter:imperf
44,.,interp
45,87,num:pl:nom:m1:rec
46,członek,subst:sg:nom:m1
47,giełda,subst:sg:gen:f
48,-,interp
49,specjalista,subst:sg:nom:m1
50,być,fin:sg:ter:imperf
51,zobowiązać,ppas:sg:nom:m1:perf:aff
52,na,prep:acc
53,żądać,ger:sg:acc:n:imperf:aff
54,zarząd,subst:sg:gen:m3
55,giełda,subst:sg:gen:f
56,przedstawić,inf:perf
57,informacja,subst:sg:acc:f
58,o,prep:loc
59,limita,subst:sg:loc:f
60,środek,subst:pl:gen:m3
61,przeznaczyć,ppas:pl:gen:m3:perf:aff
62,na,prep:acc
63,wykonywać,ger:sg:acc:n:imperf:aff
64,zadanie,subst:pl:gen:n
65,specjalista,subst:sg:gen:m1
66,.,interp
67,881,num:pl:nom:f:rec
68,.,interp
69,odpis,subst:sg:nom:m3
70,umowa,subst:sg:gen:f
71,",",interp
72,o,prep:loc
73,który,adj:sg:loc:f:pos
74,mowa,subst:sg:nom:f
75,w,prep:loc:nwok
76,§,interp
77,84,num:pl:nom:m3:congr
78,",",interp
79,członek,subst:sg:nom:m1
80,giełda,subst:sg:gen:f
81,-,interp
82,specjalista,subst:sg:nom:m1
83,obowiązany,adj:sg:nom:m1:pos
84,być,fin:sg:ter:imperf
85,przekazać,inf:perf
86,zarząd,subst:sg:dat:m3
87,giełda,subst:sg:gen:f
88,",",interp
89,przed,prep:inst:nwok
90,wydać,ger:sg:inst:n:perf:aff
91,zgoda,subst:sg:gen:f
92,",",interp
93,o,prep:loc
94,który,adj:sg:loc:f:pos
95,mowa,subst:sg:nom:f
96,w,prep:loc:nwok
97,§,interp
98,84.2,num:pl:nom:m3:rec
99,.,interp
100,spór,subst:pl:nom:m3
101,wynikać,pact:pl:nom:m3:imperf:aff
102,z,prep:gen:nwok
103,umowa,subst:sg:gen:f
104,",",interp
105,o,prep:loc
106,który,adj:sg:loc:f:pos
107,mowa,subst:sg:nom:f
108,w,prep:loc:nwok
109,ustęp,brev:pun
110,.,interp
111,1,adj:sg:loc:m3:pos
112,strona,subst:sg:gen:f
113,móc,fin:pl:ter:imperf
114,poddać,inf:perf
115,właściwość,subst:sg:dat:f
116,sąd,subst:sg:gen:m3
117,giełdowy,adj:sg:gen:m3:pos
118,.,interp
119,89,adj:sg:gen:m3:pos
120,wykonywać,pcon:imperf
121,zadanie,subst:pl:acc:n
122,specjalista,subst:sg:gen:m1
123,",",interp
124,członek,subst:sg:nom:m1
125,giełda,subst:sg:gen:f
126,powinien,winien:sg:m1:imperf
127,kierować,inf:imperf
128,się,qub
129,przed,prep:inst:wok
130,wszystko,subst:sg:inst:n
131,interes,subst:sg:inst:m3
132,uczestnik,subst:pl:gen:m1
133,rynek,subst:sg:gen:m3
134,.,interp
0,1,adj:sg:nom:n:pos
1,.,interp
2,członek,subst:sg:nom:m1
3,giełda,subst:sg:gen:f
4,-,interp
5,specjalista,subst:sg:nom:m1
6,oraz,conj
7,emitent,subst:sg:nom:m1
8,obowiązany,adj:pl:nom:m1:pos
9,być,fin:pl:ter:imperf
10,bezzwłocznie,adv:pos
11,zawiadomić,inf:perf
12,zarząd,subst:sg:acc:m3
13,giełda,subst:sg:gen:f
14,o,prep:loc
15,dokonany,adj:sg:loc:n:pos
16,wypowiedzenie,subst:sg:loc:n
17,",",interp
18,oraz,conj
19,wygaśnięcie,subst:sg:dat:n
20,umowa,subst:sg:gen:f
21,",",interp
22,o,prep:loc
23,który,adj:sg:loc:f:pos
24,mowa,subst:sg:nom:f
25,w,prep:loc:nwok
26,§,interp
27,84,num:pl:loc:m3:congr
28,",",interp
29,jak,conj
30,również,qub
31,o,prep:loc
32,każdy,adj:sg:loc:f:pos
33,zmiana,subst:sg:loc:f
34,w,prep:loc:nwok
35,on,ppron3:sg:gen:f:ter:akc:npraep
36,treść,subst:sg:loc:f
37,",",interp
38,z,prep:inst:nwok
39,wyjątek,subst:sg:inst:m3
40,zmiana,subst:sg:gen:f
41,wynagrodzenie,subst:sg:gen:n
42,.,interp
43,do,prep:gen
44,zawiadomienie,subst:sg:gen:n
45,o,prep:loc
46,zmiana,subst:sg:loc:f
47,treść,subst:sg:gen:f
48,umowa,subst:sg:gen:f
49,należeć,fin:sg:ter:imperf
50,dołączyć,inf:perf
51,odpis,subst:sg:acc:m3
52,umowa,subst:sg:gen:f
53,w,prep:loc:nwok
54,obowiązujący,adj:sg:loc:n:pos
55,brzmienie,subst:sg:loc:n
56,.,interp
57,2,num:pl:nom:n:congr
58,.,interp
59,zawiadomienie,subst:sg:nom:n
60,o,prep:loc
61,wypowiedzieć,ger:sg:loc:n:perf:aff
62,umowa,subst:sg:gen:f
63,strona,subst:sg:nom:f
64,dokonywać,pact:sg:nom:f:imperf:aff
65,wypowiedzenie,subst:sg:gen:n
66,zobowiązać,ppas:sg:nom:f:perf:aff
67,być,fin:sg:ter:imperf
68,przekazać,inf:perf
69,zarząd,subst:sg:dat:m3
70,giełda,subst:sg:gen:f
71,nie,qub
72,późno,adv:com
73,niż,conj
74,na,prep:acc
75,4,num:pl:acc:m3:congr
76,tydzień,subst:pl:acc:m3
77,przed,prep:inst:nwok
78,termin,subst:sg:inst:m3
79,wygasnąć,ger:sg:gen:n:perf:aff
80,umowa,subst:sg:gen:f
81,.,interp
82,91,num:pl:acc:m3:rec
83,zarząd,subst:sg:nom:m3
84,giełda,subst:sg:gen:f
85,móc,fin:sg:ter:imperf
86,zawiesić,inf:perf
87,prawo,subst:sg:acc:n
88,wykonywać,ger:sg:gen:n:imperf:aff
89,przez,prep:acc:nwok
90,członek,subst:sg:acc:m1
91,giełda,subst:sg:gen:f
92,zadanie,subst:pl:gen:n
93,specjalista,subst:sg:gen:m1
94,",",interp
95,o,prep:acc
96,ile,num:pl:acc:n:rec
97,nie,qub
98,wykonywać,fin:sg:ter:imperf
99,on,ppron3:sg:nom:m1:ter:akc:npraep
100,on,ppron3:pl:gen:m1:ter:akc:npraep
101,zgodnie,adv:pos
102,z,prep:inst:nwok
103,przepis,subst:pl:inst:m3
104,obowiązywać,pact:pl:inst:m3:imperf:aff
105,na,prep:loc
106,giełda,subst:sg:loc:f
107,.,interp
0,nie,qub
1,dać,fin:sg:ter:perf
2,się,qub
3,ukryć,inf:perf
4,",",interp
5,że,comp
6,fascynować,fin:sg:ter:imperf
7,ja,ppron12:sg:acc:m1:pri:akc
8,kultura,subst:sg:nom:f
9,hip,ign
10,-,interp
11,hop,interj
12,",",interp
13,ale,conj
14,nie,qub
15,chcieć,fin:sg:ter:imperf
16,podszywać,inf:imperf
17,się,qub
18,pod,prep:inst:nwok
19,tak zwany,brev:pun
20,.,interp
21,blokers,subst:sg:gen:m1
22,i,conj
23,szukać,fin:sg:pri:imperf
24,swój,adj:sg:gen:f:pos
25,droga,subst:sg:gen:f
26,próbować,pcon:imperf
27,robić,inf:imperf
28,muzyka,subst:sg:acc:f
29,z,prep:inst:nwok
30,pozytywny,adj:sg:inst:m3:pos
31,i,conj
32,szczery,adj:sg:inst:m3:pos
33,przekaz,subst:sg:inst:m3
34,.,interp
35,być,fin:sg:ter:imperf
36,on,ppron3:sg:nom:f:ter:akc:npraep
37,adresować,ppas:sg:nom:f:imperf:aff
38,do,prep:gen
39,człowiek,subst:pl:gen:m1
40,młody,adj:pl:gen:m1:pos
41,",",interp
42,wrażliwy,adj:pl:gen:f:pos
43,i,conj
44,zmęczony,adj:pl:gen:f:pos
45,bezpłciowy,adj:sg:inst:f:pos
46,",",interp
47,popowy,adj:sg:inst:f:pos
48,papka,subst:sg:inst:f
49,",",interp
50,zalewać,pact:sg:inst:f:imperf:aff
51,polski,adj:sg:acc:m3:pos
52,eter,subst:sg:acc:m3
53,.,interp
54,oprócz,prep:gen
55,plejada,subst:sg:gen:f
56,świetny,adj:pl:gen:m1:pos
57,muzyk,subst:pl:gen:m1
58,z,prep:gen:wok
59,środowisko,subst:sg:gen:n
60,rockowy,adj:sg:gen:n:pos
61,/,interp
62,między innymi,brev:pun
63,.,interp
64,Janek,subst:sg:nom:m1
65,Benedek,ign
66,(,interp
67,ex-T.Love,ign
68,),interp
69,",",interp
70,Wojciech,subst:sg:nom:m1
71,Seweryn,subst:sg:nom:m1
72,(,interp
73,Lech,subst:sg:nom:m1
74,Janerka,subst:sg:nom:m1
75,),interp
76,/,interp
77,udać,praet:sg:n:perf
78,ja,ppron12:sg:dat:m1:pri:nakc
79,się,qub
80,zaprosić,inf:perf
81,na,prep:acc
82,płyta,subst:sg:acc:f
83,kilka,num:pl:nom:f:rec
84,znana,subst:pl:gen:f
85,i,conj
86,cenić,ppas:pl:gen:m3:imperf:aff
87,przez,prep:acc:wok
88,ja,ppron12:sg:acc:m1:pri:akc
89,gwiazda,subst:pl:gen:f
90,polski,adj:sg:gen:m3:pos
91,hip,ign
92,-,interp
93,hop,subst:sg:gen:m3
94,.,interp
95,w,prep:loc:nwok
96,dwa,num:pl:loc:f:congr
97,piosenka,subst:pl:loc:f
98,wystąpić,praet:sg:m1:perf
99,gościnnie,adv:pos
100,Pezet,subst:sg:nom:m1
101,(,interp
102,Pezet,subst:sg:nom:m1
103,-,interp
104,Noon,subst:sg:nom:m1
105,),interp
106,",",interp
107,w,prep:loc:nwok
108,jeden,adj:sg:loc:f:pos
109,trzeci,adj:sg:acc:m3:pos
110,wymiar,subst:sg:acc:m3
111,(,interp
112,wschodzić,pact:sg:nom:f:imperf:aff
113,gwiazda,subst:sg:nom:f
114,młody,adj:sg:gen:f:pos
115,hip,ign
116,-,interp
117,hopowy,adj:sg:gen:f:pos
118,fala,subst:sg:gen:f
119,),interp
120,",",interp
121,a,conj
122,także,conj
123,członek,subst:pl:nom:m1
124,dobry,adj:sg:gen:n:sup
125,w,prep:loc:nwok
126,Polska,subst:sg:loc:f
127,sound,ign
128,-,interp
129,system,subst:sg:gen:m3
130,reggae,subst:sg:nom:n
131,-,interp
132,zjednoczenie,subst:sg:nom:n
133,Sound,subst:sg:nom:m3
134,system,subst:sg:nom:m3
135,.,interp
136,płyta,subst:sg:acc:f
137,nagrać,praet:pl:m1:perf
138,i,conj
139,zmiksować,praet:pl:m1:perf
140,Kajetan,subst:sg:nom:m1
141,Aron,subst:sg:nom:m1
142,i,conj
143,Adam,subst:sg:nom:m1
144,Toczko,subst:sg:nom:m1
145,w,prep:loc:nwok
146,Tarchostudio,ign
147,w,prep:loc:nwok
148,rok,subst:pl:loc:m3
149,2002,num:pl:nom:m3:congr
150,-,interp
