,base,tag
78,co,subst:sg:nom:n
79,przed,prep:inst:nwok
80,wojna,subst:sg:inst:f
81,jedyny,adj:sg:nom:f:pos
82,rada,subst:sg:nom:f
83,rzec,praet:sg:m1:perf
84,koniec,subst:sg:loc:m3
85,po,prep:loc
86,oględziny,subst:pl:loc:n
87,broń,subst:sg:gen:f
88,kazać,impt:sg:sec:perf
89,siebie,siebie:dat
90,skrócić,inf:perf
91,szyja,subst:sg:acc:f
92,kilka,num:pl:acc:m3:rec
93,centymetr,subst:pl:gen:m3
94,albo,conj
95,jeszcze,qub
96,dobrze,adv:com
97,rzucić,impt:sg:sec:perf
98,piec,subst:sg:gen:m3
99,spalić,fin:sg:ter:perf
100,śmietnik,subst:sg:acc:m3
0,przestrzeń,subst:sg:acc:f
1,dzielić,pact:sg:acc:f:imperf:aff
2,on,ppron3:sg:gen:m1:ter:akc:npraep
3,od,prep:gen:nwok
4,kolejny,adj:sg:gen:m3:pos
5,skłon,subst:sg:gen:m3
6,schody,subst:pl:gen:n
7,pokonać,praet:sg:n:perf
8,",",interp
9,kolebać,pcon:imperf
10,się,qub
11,na,prep:loc
12,bok,subst:pl:acc:m3
13,rozkołysać,ppas:sg:inst:m3:perf:aff
14,kaczy,adj:sg:inst:m3:pos
15,chód,subst:sg:inst:m3
16,.,interp
17,dziwny,adj:sg:nom:n:sup
18,jednak,conj
19,być,praet:sg:f:imperf
20,to,subst:sg:nom:n
21,co,subst:sg:nom:n
22,nastąpić,praet:sg:n:perf
23,potem,adv
24,wspinać,inf:imperf
25,stopień,subst:sg:loc:m3
26,mianowicie,conj
27,najpierw,adv
28,przed,prep:inst:nwok
29,stanąć,praet:sg:n:perf
30,niemal,qub
31,doń,praet:sg:n:perf
32,przywrzeć,praet:sg:n:perf
33,sam,adj:sg:nom:n:pos
34,zresztą,qub
35,niewiele,num:pl:nom:f:rec
36,wysoki,adj:sg:nom:n:com
37,a,conj
38,z,prep:gen:nwok
39,olbrzymi,adj:sg:inst:m3:pos
40,wysiłek,subst:sg:inst:m3
41,zacząć,praet:sg:n:perf
42,kiedy,adv
43,betonowy,adj:sg:nom:f:pos
44,krawędź,subst:sg:nom:f
45,już,qub
46,w,prep:loc:nwok
47,połowa,subst:sg:loc:f
48,wysokość,subst:sg:gen:f
49,ostrożnie,adv:pos
50,pochylać,pcon:imperf
51,powoli,adv
52,przeważyć,praet:sg:n:perf
53,ciężar,subst:sg:acc:m3
54,ciało,subst:sg:nom:n
55,poziomy,adj:sg:acc:f:pos
56,płaszczyzna,subst:sg:acc:f
57,jakby,comp
58,nie,qub
59,móc,praet:sg:n:imperf
60,zginać,inf:imperf
61,kręgosłup,subst:sg:nom:m3
62,mieć,praet:sg:n:imperf
63,całkiem,adv
64,zesztywnieć,praet:pl:m3:perf
65,koniec,subst:sg:loc:m3
66,udać,praet:sg:n:perf
67,lekki,adj:sg:inst:m3:pos
68,stukot,subst:sg:inst:m3
69,opaść,praet:sg:n:perf
70,brzuch,subst:sg:acc:m3
71,leżeć,pcon:imperf
72,tak,adv:pos
73,wydać,praet:sg:n:perf
74,siebie,siebie:gen
75,właśnie,qub
76,ten,adj:sg:acc:f:pos
77,jedyny,adj:sg:nom:n:pos
78,swój,adj:sg:loc:m3:pos
79,rodzaj,subst:sg:loc:m3
80,cichutki,adj:sg:nom:n:pos
81,jęknąć,ger:sg:nom:n:perf:aff
82,osiągnąć,pant:perf
83,faza,subst:sg:acc:f
84,wspinaczka,subst:sg:gen:f
85,przejść,praet:sg:n:perf
86,po,prep:loc
87,chwila,subst:sg:gen:f
88,do,prep:gen
89,następny,adj:sg:gen:m3:pos
90,etap,subst:sg:gen:m3
91,ciągle,adv:pos
92,czołgać,inf:imperf
93,daleko,adv:com
94,aż,qub
95,środek,subst:sg:nom:m3
96,ciężkość,subst:sg:gen:f
97,ogół,subst:sg:loc:m3
98,cały,adj:sg:nom:n:pos
99,całkowicie,adv:pos
100,znaleźć,praet:sg:n:perf
