,base,tag
116,szkarada,subst:sg:acc:f
117,.,interp
118,z,prep:gen:nwok
119,co,subst:sg:gen:n
120,strzelać,praet:sg:m1:imperf
121,być,aglt:sg:sec:imperf:wok
122,przed,prep:inst:nwok
123,wojna,subst:sg:inst:f
124,?,interp
125,-,interp
126,miał,subst:sg:inst:m3
127,Holland,depr:pl:nom:m2
128,-,interp
129,odrzec,praet:sg:m1:perf
130,być,aglt:sg:pri:imperf:wok
131,.,interp
132,-,interp
133,jedyny,adj:sg:nom:f:pos
134,rada,subst:sg:nom:f
135,-,interp
136,rzec,praet:sg:m1:perf
137,w,prep:loc:nwok
138,koniec,subst:sg:loc:m3
139,Staś,subst:sg:nom:m1
140,po,prep:loc
141,oględziny,subst:pl:loc:n
142,mój,adj:sg:gen:f:pos
143,broń,subst:sg:gen:f
144,.,interp
145,-,interp
146,kazać,impt:sg:sec:perf
147,siebie,siebie:dat
148,skrócić,inf:perf
149,szyja,subst:sg:acc:f
150,na,prep:acc
151,dobry,adj:pl:gen:m3:pos
152,kilka,num:pl:acc:m3:rec
153,centymetr,subst:pl:gen:m3
154,",",interp
155,albo,conj
156,jeszcze,qub
157,dobrze,adv:com
158,rzucić,impt:sg:sec:perf
159,ten,adj:sg:acc:n:pos
160,świństwo,subst:sg:acc:n
161,do,prep:gen
162,piec,subst:sg:gen:m3
163,",",interp
164,a,conj
165,co,subst:sg:nom:n
166,się,qub
167,nie,qub
168,spalić,fin:sg:ter:perf
169,-,interp
170,na,prep:acc
171,śmietnik,subst:sg:acc:m3
172,.,interp
0,przestrzeń,subst:sg:acc:f
1,dzielić,pact:sg:acc:f:imperf:aff
2,on,ppron3:sg:acc:n:ter:akc:npraep
3,od,prep:gen:nwok
4,kolejny,adj:sg:gen:m3:pos
5,skłon,subst:sg:gen:m3
6,schody,subst:pl:gen:n
7,pokonać,praet:sg:n:perf
8,",",interp
9,kolebać,pcon:imperf
10,się,qub
11,na,prep:acc
12,bok,subst:pl:acc:m3
13,",",interp
14,rozkołysać,ppas:sg:inst:m3:perf:aff
15,kaczy,adj:sg:inst:m3:pos
16,chód,subst:sg:inst:m3
17,.,interp
18,dziwny,adj:sg:nom:n:sup
19,jednak,conj
20,być,praet:sg:n:imperf
21,to,subst:sg:nom:n
22,",",interp
23,co,subst:sg:nom:n
24,nastąpić,praet:sg:n:perf
25,potem,adv
26,.,interp
27,on,ppron3:sg:gen:m1:ter:akc:npraep
28,wspinać,ger:sg:nom:n:imperf:aff
29,się,qub
30,na,prep:acc
31,stopień,subst:sg:acc:m3
32,.,interp
33,mianowicie,conj
34,najpierw,adv
35,przed,prep:inst:nwok
36,on,ppron3:sg:inst:m1:ter:akc:praep
37,stanąć,praet:sg:n:perf
38,",",interp
39,niemal,qub
40,doń,praet:sg:n:perf
41,przywrzeć,praet:sg:n:perf
42,.,interp
43,sam,adj:sg:nom:n:pos
44,zresztą,qub
45,być,praet:sg:n:imperf
46,niewiele,num:pl:nom:f:rec
47,od,prep:gen:nwok
48,on,ppron3:sg:gen:m3:ter:akc:praep
49,wysoki,adj:sg:nom:n:com
50,.,interp
51,a,conj
52,potem,adv
53,z,prep:inst:nwok
54,olbrzymi,adj:sg:inst:m3:pos
55,wysiłek,subst:sg:inst:m3
56,zacząć,praet:sg:n:perf
57,się,qub
58,na,prep:acc
59,on,ppron3:sg:acc:m1:ter:nakc:praep
60,wspinać,inf:imperf
61,",",interp
62,a,conj
63,kiedy,adv
64,betonowy,adj:sg:nom:f:pos
65,krawędź,subst:sg:nom:f
66,być,praet:sg:f:imperf
67,już,qub
68,w,prep:loc:nwok
69,połowa,subst:sg:loc:f
70,on,ppron3:sg:gen:m1:ter:akc:npraep
71,wysokość,subst:sg:gen:f
72,",",interp
73,ostrożnie,adv:pos
74,się,qub
75,pochylać,pcon:imperf
76,powoli,adv
77,przeważyć,praet:sg:n:perf
78,ciężar,subst:sg:acc:m3
79,ciało,subst:sg:gen:n
80,na,prep:acc
81,poziomy,adj:sg:acc:f:pos
82,płaszczyzna,subst:sg:acc:f
83,stopień,subst:sg:gen:m3
84,.,interp
85,jakby,comp
86,nie,qub
87,móc,praet:sg:n:imperf
88,się,qub
89,zginać,inf:imperf
90,",",interp
91,jakby,comp
92,kręgosłup,subst:sg:nom:m3
93,mieć,praet:sg:n:imperf
94,całkiem,adv
95,zesztywnieć,praet:pl:m3:perf
96,.,interp
97,w,prep:loc:nwok
98,koniec,subst:sg:loc:m3
99,udać,praet:sg:n:perf
100,się,qub
101,.,interp
102,z,prep:inst:nwok
103,lekki,adj:sg:inst:m3:pos
104,stukot,subst:sg:inst:m3
105,opaść,praet:sg:n:perf
106,na,prep:acc
107,brzuch,subst:sg:acc:m3
108,.,interp
109,leżeć,pcon:imperf
110,tak,adv:pos
111,",",interp
112,wydać,praet:sg:n:perf
113,z,prep:gen:nwok
114,siebie,siebie:gen
115,właśnie,qub
116,ten,adj:sg:nom:n:pos
117,jedyny,adj:sg:nom:n:pos
118,w,prep:loc:nwok
119,swój,adj:sg:loc:m3:pos
120,rodzaj,subst:sg:loc:m3
121,cichutki,adj:sg:nom:n:pos
122,jęknąć,ger:sg:nom:n:perf:aff
123,.,interp
124,osiągnąć,pant:perf
125,ten,adj:sg:acc:f:pos
126,faza,subst:sg:acc:f
127,wspinaczka,subst:sg:gen:f
128,",",interp
129,przejść,praet:sg:n:perf
130,po,prep:loc
131,chwila,subst:sg:loc:f
132,do,prep:gen
133,następny,adj:sg:gen:m3:pos
134,etap,subst:sg:gen:m3
135,.,interp
136,ciągle,adv:pos
137,leżeć,pcon:imperf
138,",",interp
139,zacząć,praet:sg:n:perf
140,się,qub
141,czołgać,inf:imperf
142,daleko,adv:com
143,",",interp
144,aż,qub
145,do,prep:gen
146,chwila,subst:sg:gen:f
147,kiedy,adv
148,środek,subst:sg:nom:m3
149,ciężkość,subst:sg:gen:f
150,",",interp
151,w,prep:loc:nwok
152,ogół,subst:sg:loc:m3
153,cały,adj:sg:nom:n:pos
154,ciało,subst:sg:nom:n
155,",",interp
156,całkowicie,adv:pos
157,znaleźć,praet:sg:n:perf
158,się,qub
159,na,prep:loc
160,stopień,subst:sg:loc:m3
161,.,interp
0,-,interp
1,nie,qub
2,widzieć,fin:sg:pri:imperf
3,duży,adj:sg:gen:n:com
4,ryzyko,subst:sg:gen:n
5,dla,prep:gen
6,taki,adj:sg:gen:f:pos
7,decyzja,subst:sg:gen:f
8,.,interp
9,wystąpienie,subst:sg:nom:n
10,tak zwany,brev:pun
11,.,interp
12,impuls,subst:sg:gen:m3
13,inflacyjny,adj:sg:gen:m3:pos
14,na,prep:acc
15,skutek,subst:sg:acc:m3
16,podwyżka,subst:pl:gen:f
17,cena,subst:pl:gen:f
18,ropa,subst:sg:gen:f
19,na,prep:loc
20,świat,subst:sg:loc:m3
21,być,fin:sg:ter:imperf
22,mało,adv:pos
23,realny,adj:sg:nom:n:pos
24,.,interp
25,również,qub
26,duży,adj:sg:nom:n:pos
27,bezrobocie,subst:sg:nom:n
28,i,conj
29,konkurencja,subst:sg:nom:f
30,na,prep:loc
31,rynek,subst:sg:loc:m3
32,być,bedzie:pl:ter:imperf
33,dyscyplinować,inf:imperf
34,nasz,adj:pl:acc:f:pos
35,cena,subst:pl:acc:f
36,.,interp
37,ale,conj
38,pamiętać,impt:pl:pri:imperf
39,",",interp
40,że,comp
41,ten,adj:sg:nom:f:pos
42,obniżka,subst:sg:nom:f
43,-,interp
44,jeśli,comp
45,do,prep:gen
46,on,ppron3:sg:gen:f:ter:akc:praep
47,dojść,fin:sg:ter:perf
48,-,interp
49,przełożyć,fin:sg:ter:perf
50,się,qub
51,na,prep:acc
52,ożywienie,subst:sg:acc:n
53,gospodarczy,adj:sg:acc:n:pos
54,dopiero,qub
55,za,prep:acc
56,6,num:pl:acc:m3:rec
57,-,interp
58,8,num:pl:acc:m3:rec
59,miesiąc,subst:pl:gen:m3
60,.,interp
61,taki,adj:pl:nom:f:pos
62,być,fin:pl:ter:imperf
63,sprawdzić,ppas:pl:nom:f:perf:aff
64,reguła,subst:pl:nom:f
65,ekonomiczny,adj:pl:nom:f:pos
66,i,conj
67,my,ppron12:pl:nom:m1:pri
68,on,ppron3:pl:gen:f:ter:akc:npraep
69,nie,qub
70,zmienić,fin:pl:pri:perf
71,.,interp
72,projekt,subst:sg:nom:m3
73,przyszłoroczny,adj:sg:gen:m3:pos
74,budżet,subst:sg:gen:m3
75,",",interp
76,który,adj:sg:acc:m3:pos
77,przedstawić,praet:sg:m1:perf
78,wicepremier,subst:sg:nom:m1
79,Marek,subst:sg:nom:m1
80,Belka,subst:sg:nom:m1
81,",",interp
82,opierać,fin:sg:ter:imperf
83,się,qub
84,-,interp
85,tak,adv:pos
86,się,qub
87,wydawać,fin:sg:ter:imperf
88,-,interp
89,na,prep:loc
90,ekonomiczny,adj:sg:loc:m3:pos
91,optymizm,subst:sg:loc:m3
92,.,interp
93,czy,qub
94,być,fin:pl:ter:imperf
95,ku,prep:dat
96,to,subst:sg:dat:n
97,rzeczywisty,adj:pl:nom:m3:pos
98,powód,subst:pl:nom:m3
99,?,interp
0,po,prep:loc
1,ten,adj:pl:loc:n:pos
2,polski,adj:pl:loc:n:pos
3,wydarzenie,subst:pl:loc:n
4,przenieść,praet:pl:m1:perf
5,być,aglt:pl:pri:imperf:nwok
6,się,qub
7,do,prep:gen
8,Londyn,subst:sg:gen:m3
9,",",interp
10,gdzie,adv
11,w,prep:loc:nwok
12,renomowany,adj:sg:loc:m3:pos
13,hotel,subst:sg:loc:m3
14,odbywać,praet:sg:n:imperf
15,się,qub
16,wręczać,ger:sg:nom:n:imperf:aff
17,nagroda,subst:pl:gen:f
18,znany,adj:sg:gen:n:pos
19,pismo,subst:sg:gen:n
20,muzyczny,adj:sg:gen:n:pos
21,"""",interp
22,Q,subst:sg:nom:n
23,"""",interp
24,.,interp
25,w,prep:loc:nwok
26,reportaż,subst:sg:loc:m3
27,to,subst:sg:inst:n
28,duży,adj:sg:acc:n:sup
29,wrażenie,subst:sg:acc:n
30,zrobić,praet:sg:m1:perf
31,podstarzały,adj:sg:nom:m1:pos
32,wprawdzie,qub
33,Johny,subst:sg:nom:m1
34,Rotten,subst:sg:nom:m1
35,",",interp
36,lider,subst:sg:nom:m1
37,punkowy,adj:sg:gen:m3:pos
38,zespół,subst:sg:gen:m3
39,sex,subst:sg:nom:m3
40,Pistols,subst:sg:nom:m3
41,",",interp
42,który,adj:sg:nom:m3:pos
43,kazać,praet:sg:m3:perf
44,rozwydrzyć,ppas:pl:dat:f:perf:aff
45,i,conj
46,rozochocony,adj:pl:dat:f:pos
47,gość,subst:pl:dat:m1
48,po,prep:acc
49,prosty,adjp
50,"""",interp
51,zamknąć,inf:perf
52,się,qub
53,"""",interp
54,.,interp
55,tak,adv:pos
56,więc,conj
57,"""",interp
58,SuperVIP,subst:sg:nom:m3
59,"""",interp
60,to,pred
61,jeszcze,qub
62,jeden,adj:sg:nom:m3:pos
63,tradycyjny,adj:sg:nom:m3:pos
64,program,subst:sg:nom:m3
65,prezentować,pact:sg:nom:m3:imperf:aff
66,nowość,subst:pl:acc:f
67,z,prep:gen:wok
68,świat,subst:sg:gen:m3
69,popkultura,subst:sg:gen:f
70,.,interp
71,nie,qub
72,mieć,fin:sg:ter:imperf
73,w,prep:loc:nwok
74,on,ppron3:sg:loc:n:ter:akc:praep
75,",",interp
76,wbrew,prep:dat
77,to,subst:sg:dat:n
78,co,subst:sg:acc:n
79,można,pred
80,by,qub
81,sądzić,inf:imperf
82,",",interp
83,żaden,adj:pl:gen:f:pos
84,plotka,subst:pl:gen:f
85,i,conj
86,skandal,subst:pl:gen:m3
87,",",interp
88,także,qub
89,sam,adj:sg:nom:f:pos
90,formuła,subst:sg:nom:f
91,program,subst:sg:gen:m3
92,",",interp
93,gdzie,adv
94,na,prep:acc
95,przemian,burk
96,pojawiać,fin:sg:ter:imperf
97,się,qub
98,prowadzić,pact:sg:nom:f:imperf:aff
99,on,ppron3:sg:acc:m1:ter:nakc:npraep
100,Ewa,subst:sg:nom:f
101,Olbrychska,subst:sg:nom:f
102,i,conj
103,krótki,adj:pl:nom:m3:pos
104,reportaż,subst:pl:nom:m3
105,bądź,conj
106,wywiad,subst:pl:nom:m3
107,",",interp
108,być,fin:sg:ter:imperf
109,mocno,adv:pos
110,ugrzecznić,ppas:sg:nom:f:perf:aff
111,i,conj
112,nie,qub
113,odbiegać,fin:sg:ter:imperf
114,od,prep:gen:nwok
115,konwencja,subst:sg:gen:f
116,tradycyjny,adj:sg:gen:m3:pos
117,program,subst:sg:gen:m3
118,informacyjny,adj:sg:gen:m3:pos
119,.,interp
0,1,adj:sg:nom:n:pos
1,.,interp
2,przewodniczący,subst:sg:nom:m1
3,sesja,subst:sg:gen:f
4,giełdowy,adj:sg:gen:f:pos
5,móc,fin:sg:ter:imperf
6,nadzorować,inf:imperf
7,wykonywać,ger:sg:acc:n:imperf:aff
8,zadanie,subst:pl:gen:n
9,",",interp
10,o,prep:loc
11,który,adj:pl:loc:n:pos
12,mowa,subst:sg:nom:f
13,w,prep:loc:nwok
14,§,interp
15,85,adj:sg:loc:m3:pos
16,.,interp
17,2,adj:sg:loc:m3:pos
18,.,interp
19,giełda,subst:sg:nom:f
20,móc,fin:sg:ter:imperf
21,podjąć,inf:perf
22,lub,conj
23,w,prep:loc:nwok
24,szczególnie,adv:pos
25,uzasadnić,ppas:pl:loc:m3:perf:aff
26,przypadek,subst:pl:loc:m3
27,przejąć,inf:perf
28,wykonywać,ger:sg:acc:n:imperf:aff
29,zadanie,subst:pl:gen:n
30,określić,ppas:pl:gen:n:perf:aff
31,w,prep:loc:nwok
32,§,interp
33,85,adj:sg:loc:m3:pos
34,litera,brev:pun
35,.,interp
36,a,subst:sg:nom:n
37,),interp
38,",",interp
39,c,subst:sg:nom:n
40,),interp
41,.,interp
42,interwencja,subst:sg:nom:f
43,wówczas,adv
44,nie,qub
45,następować,fin:sg:ter:imperf
46,.,interp
47,87Członek,num:pl:nom:f:rec
48,giełda,subst:sg:gen:f
49,-,interp
50,specjalista,subst:sg:nom:m1
51,być,fin:sg:ter:imperf
52,zobowiązać,ppas:sg:nom:m1:perf:aff
53,na,prep:acc
54,żądanie,subst:sg:acc:n
55,zarząd,subst:sg:gen:m3
56,giełda,subst:sg:gen:f
57,przedstawić,inf:perf
58,informacja,subst:sg:acc:f
59,o,prep:loc
60,limit,subst:sg:loc:m3
61,środek,subst:pl:gen:m3
62,przeznaczyć,ppas:pl:gen:m3:perf:aff
63,na,prep:acc
64,wykonywać,ger:sg:acc:n:imperf:aff
65,zadanie,subst:pl:gen:n
66,specjalista,subst:sg:gen:m1
67,.,interp
68,881,num:pl:nom:m3:rec
69,.,interp
70,odpis,subst:sg:nom:m3
71,umowa,subst:sg:gen:f
72,",",interp
73,o,prep:loc
74,który,adj:sg:loc:f:pos
75,mowa,subst:sg:nom:f
76,w,prep:loc:nwok
77,§,interp
78,84,adj:sg:loc:m3:pos
79,",",interp
80,członek,subst:sg:nom:m1
81,giełda,subst:sg:gen:f
82,-,interp
83,specjalista,subst:sg:nom:m1
84,obowiązany,adj:sg:nom:m1:pos
85,być,fin:sg:ter:imperf
86,przekazać,inf:perf
87,zarząd,subst:sg:dat:m3
88,giełda,subst:sg:gen:f
89,",",interp
90,przed,prep:inst:nwok
91,wydać,ger:sg:inst:n:perf:aff
92,zgoda,subst:sg:gen:f
93,",",interp
94,o,prep:loc
95,który,adj:sg:loc:f:pos
96,mowa,subst:sg:nom:f
97,w,prep:loc:nwok
98,§,interp
99,84,adj:sg:loc:m3:pos
100,.,interp
101,2,adj:sg:loc:m3:pos
102,.,interp
103,spór,subst:pl:nom:m3
104,wynikać,pact:pl:nom:m3:imperf:aff
105,z,prep:gen:nwok
106,umowa,subst:sg:gen:f
107,",",interp
108,o,prep:loc
109,który,adj:sg:loc:f:pos
110,mowa,subst:sg:nom:f
111,w,prep:loc:nwok
112,ustęp,brev:pun
113,.,interp
114,1,adj:sg:loc:m3:pos
115,strona,subst:pl:nom:f
116,móc,fin:pl:ter:imperf
117,poddać,inf:perf
118,właściwość,subst:sg:dat:f
119,sąd,subst:sg:gen:m3
120,giełdowy,adj:sg:gen:m3:pos
121,.,interp
122,89Wykonując,adj:sg:nom:m3:pos
123,zadanie,subst:pl:nom:n
124,specjalista,subst:sg:gen:m1
125,",",interp
126,członek,subst:sg:nom:m1
127,giełda,subst:sg:gen:f
128,powinien,winien:sg:m1:imperf
129,kierować,inf:imperf
130,się,qub
131,przed,prep:inst:wok
132,wszystek,adj:sg:inst:m3:pos
133,interes,subst:sg:inst:m3
134,uczestnik,subst:pl:gen:m1
135,rynek,subst:sg:gen:m3
136,.,interp
0,1,adj:sg:nom:n:pos
1,.,interp
2,członek,subst:sg:nom:m1
3,giełda,subst:sg:gen:f
4,-,interp
5,specjalista,subst:sg:nom:m1
6,oraz,conj
7,emitent,subst:sg:nom:m1
8,obowiązany,adj:pl:nom:m1:pos
9,być,fin:pl:ter:imperf
10,bezzwłocznie,adv:pos
11,zawiadomić,inf:perf
12,zarząd,subst:sg:acc:m3
13,giełda,subst:sg:gen:f
14,o,prep:loc
15,dokonać,ppas:sg:loc:n:perf:aff
16,wypowiedzenie,subst:sg:loc:n
17,",",interp
18,oraz,conj
19,wygasnąć,ger:sg:loc:n:perf:aff
20,umowa,subst:sg:gen:f
21,",",interp
22,o,prep:loc
23,który,adj:sg:loc:f:pos
24,mowa,subst:sg:nom:f
25,w,prep:loc:nwok
26,§,interp
27,84,adj:sg:loc:m3:pos
28,",",interp
29,jak,conj
30,również,conj
31,o,prep:loc
32,każdy,adj:sg:loc:f:pos
33,zmiana,subst:sg:loc:f
34,w,prep:loc:nwok
35,on,ppron3:sg:gen:f:ter:akc:npraep
36,treść,subst:sg:loc:f
37,",",interp
38,z,prep:inst:nwok
39,wyjątek,subst:sg:inst:m3
40,zmiana,subst:sg:gen:f
41,wynagrodzenie,subst:sg:gen:n
42,.,interp
43,do,prep:gen
44,zawiadomić,ger:sg:gen:n:perf:aff
45,o,prep:loc
46,zmiana,subst:sg:loc:f
47,treść,subst:sg:gen:f
48,umowa,subst:sg:gen:f
49,należeć,fin:sg:ter:imperf
50,dołączyć,inf:perf
51,odpis,subst:sg:acc:m3
52,umowa,subst:sg:gen:f
53,w,prep:loc:nwok
54,obowiązujący,adj:sg:loc:n:pos
55,brzmienie,subst:sg:loc:n
56,.,interp
57,2,adj:sg:nom:n:pos
58,.,interp
59,zawiadomienie,subst:sg:nom:n
60,o,prep:loc
61,wypowiedzieć,ger:sg:loc:n:perf:aff
62,umowa,subst:sg:gen:f
63,strona,subst:sg:nom:f
64,dokonywać,pact:sg:nom:f:imperf:aff
65,wypowiedzenie,subst:sg:gen:n
66,zobowiązać,ppas:sg:nom:f:perf:aff
67,być,fin:sg:ter:imperf
68,przekazać,inf:perf
69,zarząd,subst:sg:dat:m3
70,giełda,subst:sg:gen:f
71,nie,qub
72,późno,adv:com
73,niż,conj
74,na,prep:acc
75,4,num:pl:acc:m3:congr
76,tydzień,subst:pl:acc:m3
77,przed,prep:inst:nwok
78,termin,subst:sg:inst:m3
79,wygasnąć,ger:sg:gen:n:perf:aff
80,umowa,subst:sg:gen:f
81,.,interp
82,91Zarząd,adj:sg:nom:m3:pos
83,giełda,subst:sg:gen:f
84,móc,fin:sg:ter:imperf
85,zawiesić,inf:perf
86,prawo,subst:sg:acc:n
87,wykonywać,ger:sg:gen:n:imperf:aff
88,przez,prep:acc:nwok
89,członek,subst:sg:acc:m1
90,giełda,subst:sg:gen:f
91,zadanie,subst:pl:gen:n
92,specjalista,subst:sg:gen:m1
93,",",interp
94,o,prep:acc
95,ile,num:pl:acc:n:rec
96,nie,qub
97,wykonywać,fin:sg:ter:imperf
98,on,ppron3:sg:nom:m1:ter:akc:npraep
99,on,ppron3:pl:gen:m1:ter:akc:npraep
100,zgodnie,adv:pos
101,z,prep:inst:nwok
102,przepis,subst:pl:inst:m3
103,obowiązywać,pact:pl:inst:m3:imperf:aff
104,na,prep:loc
105,giełda,subst:sg:loc:f
106,.,interp
0,nie,qub
1,dać,fin:sg:ter:perf
2,się,qub
3,ukryć,inf:perf
4,",",interp
5,że,comp
6,fascynować,fin:sg:ter:imperf
7,ja,ppron12:sg:acc:f:pri:akc
8,kultura,subst:sg:nom:f
9,hip,subst:sg:nom:m3
10,-,interp
11,hop,interj
12,",",interp
13,ale,conj
14,nie,qub
15,chcieć,fin:sg:ter:imperf
16,podszywać,inf:imperf
17,się,qub
18,pod,prep:inst:nwok
19,tak zwany,brev:pun
20,.,interp
21,blokers,subst:sg:gen:m1
22,i,conj
23,szukać,fin:sg:pri:imperf
24,swój,adj:sg:gen:f:pos
25,droga,subst:sg:gen:f
26,próbować,pcon:imperf
27,robić,inf:imperf
28,muzyka,subst:sg:acc:f
29,z,prep:inst:nwok
30,pozytywny,adj:sg:inst:m3:pos
31,i,conj
32,szczery,adj:sg:inst:m3:pos
33,przekaz,subst:sg:inst:m3
34,.,interp
35,być,fin:sg:ter:imperf
36,on,ppron3:sg:nom:f:ter:akc:npraep
37,adresować,ppas:sg:nom:f:imperf:aff
38,do,prep:gen
39,człowiek,subst:pl:gen:m1
40,młody,adj:pl:gen:m1:pos
41,",",interp
42,wrażliwy,adj:pl:gen:m1:pos
43,i,conj
44,zmęczyć,ppas:pl:gen:m1:perf:aff
45,bezpłciowy,adj:sg:inst:f:pos
46,",",interp
47,popowy,adj:sg:inst:f:pos
48,papka,subst:sg:inst:f
49,",",interp
50,zalewać,pact:sg:inst:f:imperf:aff
51,polski,adj:sg:acc:m3:pos
52,eter,subst:sg:acc:m3
53,.,interp
54,oprócz,prep:gen
55,plejada,subst:sg:gen:f
56,świetny,adj:pl:gen:m1:pos
57,muzyk,subst:pl:gen:m1
58,z,prep:gen:wok
59,środowisko,subst:sg:gen:n
60,rockowy,adj:sg:gen:n:pos
61,/,interp
62,miasto,brev:pun
63,.,interp
64,inny,brev:pun
65,.,interp
66,Janek,subst:sg:nom:m1
67,Benedek,subst:sg:nom:m1
68,(,interp
69,ex,subst:sg:nom:m1
70,-,interp
71,T,brev:pun
72,.,interp
73,Love,subst:sg:nom:m1
74,),interp
75,",",interp
76,Wojciech,subst:sg:nom:m1
77,Seweryn,subst:sg:nom:m1
78,(,interp
79,Lech,subst:sg:nom:m1
80,Janerka,subst:sg:nom:m1
81,),interp
82,/,interp
83,udać,praet:sg:n:perf
84,ja,ppron12:sg:dat:m1:pri:nakc
85,się,qub
86,zaprosić,inf:perf
87,na,prep:acc
88,płyta,subst:sg:acc:f
89,kilka,num:pl:acc:f:rec
90,znany,subst:pl:gen:m1
91,i,conj
92,cenić,ppas:pl:gen:f:imperf:aff
93,przez,prep:acc:wok
94,ja,ppron12:sg:acc:m1:pri:akc
95,gwiazda,subst:pl:gen:f
96,polski,adj:sg:gen:m3:pos
97,hip,interj
98,-,interp
99,hop,subst:sg:gen:m3
100,.,interp
101,w,prep:loc:nwok
102,dwa,num:pl:loc:f:congr
103,piosenka,subst:pl:loc:f
104,wystąpić,praet:sg:m1:perf
105,gościnnie,adv:pos
106,Pezet,subst:sg:nom:m1
107,(,interp
108,Pezet,subst:sg:nom:m3
109,-,interp
110,Noon,subst:sg:nom:m3
111,),interp
112,",",interp
113,w,prep:loc:nwok
114,jeden,adj:sg:loc:f:pos
115,trzeci,adj:sg:nom:m3:pos
116,wymiar,subst:sg:nom:m3
117,(,interp
118,wschodzący,adj:sg:nom:f:pos
119,gwiazda,subst:sg:nom:f
120,młody,adj:sg:gen:f:pos
121,hip,adja
122,-,interp
123,hopowy,adj:sg:gen:f:pos
124,fala,subst:sg:gen:f
125,),interp
126,",",interp
127,a,conj
128,także,conj
129,członek,subst:pl:nom:m1
130,dobry,adj:sg:gen:n:sup
131,w,prep:loc:nwok
132,Polska,subst:sg:loc:f
133,sound,subst:sg:nom:m3
134,-,interp
135,system,subst:sg:gen:m3
136,reggae,subst:sg:nom:n
137,-,interp
138,zjednoczenie,subst:sg:nom:n
139,Sound,subst:sg:nom:m3
140,system,subst:sg:nom:m3
141,.,interp
142,Płyta,subst:sg:acc:f
143,nagrać,praet:pl:m1:perf
144,i,conj
145,zmiksować,praet:pl:m1:perf
146,Kajetan,subst:sg:nom:m1
